,Movie,Date,Rating,Year,Director,Writer,Cast
157,Synchronic,28/02/2021,5,2019,"Justin Benson, Aaron Moorhead",Justin Benson,"Anthony Mackie, Jamie Dornan, Katie Aselton, Ally Ioannides, Ramiz Monsef, Bill Oberst Jr., Betsy Holt, Shane Brady, Kate Adair, Matthew Underwood, Carl Palmer, Martin Bats Bradford, Sam Malone, Rhonda Johnson Dents, Sophie Howell"
158,What Dreams May Come,02/03/2021,7,1998,Vincent Ward,"Richard Matheson, Ronald Bass","Robin Williams, Cuba Gooding Jr., Annabella Sciorra, Max von Sydow, Jessica Brooks Grant, Josh Paddock, Rosalind Chao, Lucinda Jenney, Maggie McCarthy, Wilma Bonet, Matt Salinger, Carin Sprague, June Carryl, Paul P. Card IV, Werner Herzog"
159,Last Action Hero,08/03/2021,6,1993,John McTiernan,"Zak Penn, Adam Leff","Arnold Schwarzenegger, F. Murray Abraham, Art Carney, Charles Dance, Frank McRae, Tom Noonan, Robert Prosky, Anthony Quinn, Mercedes Ruehl, Austin O___Brien, Ian McKellen, Professor Toru Tanaka, Joan Plowright, Keith Barish, Jim Belushi"
160,Ford V Ferrari,12/03/2021,9,2019,James Mangold,"Jez Butterworth, John-Henry Butterworth","Matt Damon, Christian Bale, Jon Bernthal, Caitriona Balfe, Josh Lucas, Noah Jupe, Tracy Letts, Remo Girone, Ray McKinnon, JJ Feild, Jack McMullen, Corrado Invernizzi, Joe Williamson, Ian Harding, Christopher Darga"
161,Predestination,20/03/2021,8,2014,"Michael Spierig(as The Spierig Brothers), Peter Spierig(as The Spierig Brothers)","Michael Spierig, Peter Spierig","Ethan Hawke, Sarah Snook, Christopher Kirby, Christopher Sommers, Kuni Hashimoto, Sara El-Yafi, Paul Moder, Grant Piro, Christopher Bunworth, Jamie Gleeson, Christina Tan, Dennis Coard, Milla Simmonds, Ruby Simmonds, Cate Wolfe"
162,The World’s End,25/03/2021,5,2013,Edgar Wright,"Simon Pegg, Edgar Wright","Thomas Law, Zachary Bailess, Jasper Levine, James Tarpey, Luke Bromley, Sophie Evans, Samantha White, Rose Reynolds, Richard Hadfield, Flora Slorach, Francesca Reidie, Charlotte Reidie, Pierce Brosnan, David Bradley, Michael Smiley"
163,Memories Of Murder,27/03/2021,8,2003,Bong Joon Ho,"Bong Joon Ho, Kwang-rim Kim","Kang-ho Song, Kim Sang-kyung, Roe-ha Kim, Jae-ho Song, Byun Hee-Bong, Seo-hie Ko, Tae-ho Ryu, No-shik Park, Park Hae-il, Mi-seon Jeon, Young-hwa Seo, Woo Go-na, Ok-joo Lee, Jong-ryol Choi, Seung-mok Yoo"
164,Crawl,31/03/2021,7,2019,Alexandre Aja,"Michael Rasmussen, Shawn Rasmussen","Kaya Scodelario, Barry Pepper, Morfydd Clark, Ross Anderson, Jose Palma, George Somner, Anson Boon, Ami Metcalf, Tina Pribicevic, Srna Vasiljevic, Cso-Cso, Colin McFarlane, Annamaria Serda, Savannah Steyn"
165,Hachi: A Dog’s Tale,01/04/2021,7,2009,Lasse Hallström,"Stephen P. Lindsey, Kaneto Shindô","Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa, Sarah Roemer, Jason Alexander, Erick Avari, Davenia McFadden, Robbie Sublett, Kevin DeCoste, Rob Degnan, Tora Hallström, Donna Sorbello, Frank S. Aronson, Troy Doherty, Ian Sherman"
166,The Assassination Of Jesse James By The Coward Robert Ford,02/04/2021,8,2007,Andrew Dominik,"Andrew Dominik, Ron Hansen","Brad Pitt, Mary-Louise Parker, Brooklynn Proulx, Dustin Bollinger, Casey Affleck, Sam Rockwell, Jeremy Renner, Sam Shepard, Garret Dillahunt, Paul Schneider, Joel McNichol, James Defelice, J.C. Roberts, Darrell Orydzuk, Jonathan Erich Drachenberg"
167,Nobody,03/04/2021,7,2021,Ilya Naishuller,Derek Kolstad,"Bob Odenkirk, Aleksey Serebryakov, Connie Nielsen, Christopher Lloyd, Michael Ironside, Colin Salmon, RZA, Billy MacLellan, Araya Mengesha, Gage Munroe, Paisley Cadorath, Aleksandr Pal, Humberly González, Edsson Morales, J.P. Manoux"
168,The Green Mile,04/04/2021,8,1999,Frank Darabont,"Stephen King, Frank Darabont","Tom Hanks, David Morse, Bonnie Hunt, Michael Clarke Duncan, James Cromwell, Michael Jeter, Graham Greene, Doug Hutchison, Sam Rockwell, Barry Pepper, Jeffrey DeMunn, Patricia Clarkson, Harry Dean Stanton, Dabbs Greer, Eve Brent"
169,6 Underground,05/04/2021,5,2019,Michael Bay,"Paul Wernick, Rhett Reese","Ryan Reynolds, Mélanie Laurent, Manuel Garcia-Rulfo, Ben Hardy, Adria Arjona, Dave Franco, Corey Hawkins, Lior Raz, Payman Maadi, Yuri Kolokolnikov, Kim Kold, Lídia Franco, James Murray, Lukhanyo Bele, George Kareman"
170,Steve Jobs,09/04/2021,7,2015,Danny Boyle,"Aaron Sorkin, Walter Isaacson","Michael Fassbender, Kate Winslet, Seth Rogen, Jeff Daniels, Michael Stuhlbarg, Katherine Waterston, Perla Haney-Jardine, Ripley Sobo, Makenzie Moss, Sarah Snook, John Ortiz, Adam Shapiro, John Steen, Stan Roth, Mihran Slougian"
171,Ip Man 2,12/04/2021,7,2010,Wilson Yip,"Tai-lee Chan, Hiu-Yan Choi","Donnie Yen, Xiaoming Huang, Sammo Kam-Bo Hung, Lynn Xiong, Kent Cheng, Darren Shahlavi, Yu-Hang To, Charles Mayer, Ka-nin Ngo, Calvin Ka-Sing Cheng, Siu-Wong Fan, Simon Yam, Christian ___Kang___ Bachini, Brian Thomas Burrell, Li Chak"
172,Little White Lies,14/04/2021,7,2010,Guillaume Canet,Guillaume Canet,"François Cluzet, Marion Cotillard, Benoît Magimel, Gilles Lellouche, Jean Dujardin, Laurent Lafitte, Valérie Bonneton, Pascale Arbillot, Anne Marivin, Louise Monot, Joël Dupuch, Hocine Mérabet, Matthieu Chedid, Maxim Nucci, Néo Broca"
173,Project X,16/04/2021,6,2012,Nima Nourizadeh,"Matt Drake, Michael Bacall","Thomas Mann, Oliver Cooper, Jonathan Daniel Brown, Dax Flame, Kirby Bliss Blanton, Brady Hender, Nick Nervies, Alexis Knapp, Miles Teller, Peter Mackenzie, Caitlin Dulany, Rob Evors, Rick Shapiro, Martin Klebba, Pete Gardner"
174,Searching,17/04/2021,8,2018,Aneesh Chaganty,"Aneesh Chaganty, Sev Ohanian","John Cho, Sara Sohn, Alex Jayne Go, Megan Liu, Kya Dawn Lau, Michelle La, Joseph Lee, Dominic Hoffman, Sylvia Minassian, Melissa Disney, Connor McRaith, Colin Woodell, Debra Messing, Joseph John Schirle, Ashley Edner"
175,The Mauritanian,19/04/2021,7,2021,Kevin Macdonald,"Michael Bronner , Rory Haines","Tahar Rahim, Nouhe Hamady Bari, Saadna Hamoud, Mohamed Yeslem Mousse, Mohamed Abderrahmane Arava, Aly Deyde, El Hocine Aba, Baya Belal, Baba Mine, Lemrabott Zeine Sidamar, Yenje Abdellahi, Jodie Foster, Shailene Woodley, Clayton Boyd, Denis Ménochet"
176,The Lodge,23/04/2021,6,2019,"Severin Fiala, Veronika Franz","Sergio Casci, Veronika Franz","Riley Keough, Jaeden Martell, Lia McHugh, Richard Armitage, Alicia Silverstone, Danny Keough, Lola Reid, Philippe Ménard, Jarred Atkin, Wally the Dog"
177,Mother,24/04/2021,7,2009,Bong Joon Ho,"Bong Joon Ho, Eun-kyo Park","Hye-ja Kim, Won Bin, Jin Goo, Je-mun Yun, Mi-seon Jeon, Sae-byeok Song, Yeong-seok Lee, Hee-ra Mun, Woo-hee Chun, Byoung-Soon Kim, Moo-yeong Yeo, Yeong-gi Jeong, Go Gyu-Pil, Mi-do Lee, Jin-gu Kim"
178,King Arthur: Legend Of The Sword,30/04/2021,9,2017,Guy Ritchie,"Joby Harold, Guy Ritchie","Charlie Hunnam, Astrid Bergès-Frisbey, Jude Law, Djimon Hounsou, Eric Bana, Aidan Gillen, Freddie Fox, Craig McGinlay, Tom Wu, Kingsley Ben-Adir, Neil Maskell, Annabelle Wallis, Zac Barker, Oliver Barker, Geoff Bell"
179,The Age Of Adaline,01/05/2021,7,2015,Lee Toland Krieger,"J. Mills Goodloe, Salvador Paskowitz","Blake Lively, Michiel Huisman, Harrison Ford, Ellen Burstyn, Kathy Baker, Amanda Crew, Lynda Boyd, Hugh Ross, Richard Harmon, Fulvio Cecere, Anjali Jay, Hiro Kanagawa, Peter J. Gray, Izabel Pearce, Cate Richardson"
180,Seaspiracy,03/05/2021,7,2021,Ali Tabrizi,"Stars:Ali Tabrizi, Richard O___Barry, Lucy Tabrizi","Ali Tabrizi, Richard O___Barry, Lucy Tabrizi, Lori Marino, Tamara Arenovich, Paul de Gelder, Callum Roberts, Gary Stokes, Peter Hammarstedt, Lamya Essemlali, Mark J. Palmer, George Monbiot, Jackie Nuñez, Dianna Cohen, Chris Langdon"
181,American Hustle,04/05/2021,7,2013,David O. Russell,"Eric Warren Singer, David O. Russell","Christian Bale, Bradley Cooper, Amy Adams, Jeremy Renner, Jennifer Lawrence, Louis C.K., Jack Huston, Michael Peña, Shea Whigham, Alessandro Nivola, Elisabeth Röhm, Paul Herman, Saïd Taghmaoui, Matthew Russell, Thomas Matthews"
182,Two Hands,08/05/2021,7,1999,Gregor Jordan,Gregor Jordan,"Heath Ledger, Bryan Brown, David Field, Tom Long, Tony Forrow, Steven Vidler, Dale Kalnins, Kiri Paramore, Bill Drury, David Moeaki, Mathew Wilkinson, Rose Byrne, Mary Acres, Evan Sheaves, Jarrah Darling"
183,Maze Runner: The Scorch Trials,09/05/2021,6,2015,Wes Ball,"T.S. Nowlin, James Dashner","Dylan O___Brien, Ki Hong Lee, Kaya Scodelario, Thomas Brodie-Sangster, Dexter Darden, Alexander Flores, Jacob Lofland, Rosa Salazar, Giancarlo Esposito, Patricia Clarkson, Aidan Gillen, Terry Dale Parks, Kathryn Smith-McGlynn, Lili Taylor, Barry Pepper"
184,Stowaway,13/05/2021,6,2021,Joe Penna,"Joe Penna, Ryan Morrison","Anna Kendrick, Daniel Dae Kim, Shamier Anderson, Toni Collette"
185,The Father,14/05/2021,8,2020,Florian Zeller,"Christopher Hampton, Florian Zeller","Olivia Colman, Anthony Hopkins, Mark Gatiss, Olivia Williams, Imogen Poots, Rufus Sewell, Ayesha Dharker, Roman Zeller"
186,Sleepers,16/05/2021,9,1996,Barry Levinson,"Lorenzo Carcaterra, Barry Levinson","Kevin Bacon, Billy Crudup, Robert De Niro, Ron Eldard, Minnie Driver, Vittorio Gassman, Dustin Hoffman, Terry Kinney, Bruno Kirby, Frank Medrano, Jason Patric, Joe Perrino, Brad Pitt, Brad Renfro, Geoffrey Wigdor"
187,Spy Game,20/05/2021,7,2001,Tony Scott,"Michael Frost Beckner, Michael Frost Beckner","Robert Redford, Brad Pitt, Catherine McCormack, Stephen Dillane, Larry Bryggman, Marianne Jean-Baptiste, Matthew Marsh, Todd Boyce, Michael Paul Chan, Garrick Hagon, Andrew Grainger, Bill Buell, Colin Stinton, Ted Maynard, Tom Hodgkins"
188,Another Round,22/05/2021,8,2020,Thomas Vinterberg,"Thomas Vinterberg, Tobias Lindholm","Mads Mikkelsen, Thomas Bo Larsen, Magnus Millang, Lars Ranthe, Maria Bonnevie, Helene Reingaard Neumann, Susse Wold, Magnus Sjørup, Silas Cornelius Van, Albert Rudbeck Lindhardt, Martin Greis-Rosenthal, Frederik Winther Rasmussen, Aksel Vedsegaard, Aya Grann, Gustav Sigurth Jeppesen"
189,Triggered,23/05/2021,4,2020,Alastair Orr,David D. Jones,"Reine Swart, Russell Crous, Liesl Ahlers, Cameron Scott, Steven John Ward, Paige Bonnin, Kayla Privett, Suraya Rose Santos, Sean Cameron Michael, Michael Lawrence Potter, Craig Urbani, Johan Baird"
190,Godzilla Vs Kong,31/12/2021,7,2021,Adam Wingard,"Eric Pearson, Max Borenstein","Alexander Skarsgård, Millie Bobby Brown, Rebecca Hall, Brian Tyree Henry, Shun Oguri, Eiza González, Julian Dennison, Kyle Chandler, Demián Bichir, Lance Reddick, Van Marten, Kaylee Hottle"
191,Death To 2021,01/01/2022,6,2021,Josh Ruben,Jack Clough,"Hugh Grant, Lucy Liu, Tracey Ullman, Samson Kayo, Joe Keery, William Jackson Harper, Stockard Channing, Cristin Milioti, Diane Morgan, Nick Mohammed"
192,The Master,08/01/2022,7,2012,Paul Thomas Anderson,Paul Thomas Anderson,"Joaquin Phoenix, Philip Seymour Hoffman, Amy Adams, Laura Dern, Jesse Plemons, Amy Ferguson, Frank Bettag, Leonida A. Bautista, Ambyr Childers"
193,It,14/01/2022,7,2017,Andy Muschietti,"Chase Palmer, Cary Joji Fukunaga, Gary Dauberman","Jaeden Martell, Jeremy Ray Taylor, Sophia Lillis, Finn Wolfhard, Chosen Jacobs, Jack Dylan Grazer, Wyatt Oleff, Bill Skarsgård, Nicholas Hamilton, Jake Sim, Logan Thompson, Owen Teague, Jackson Robert Scott, Stephen Bogaert, Stuart Hughes, Geoffrey Pounsett, Pip Dwyer, Molly Atkinson, Steven Williams, Elizabeth Saunders"
194,Devil’s Advocate,15/01/2022,8,1997,Taylor Hackford,"Andrew Neiderman, Jonathan Lemkin, Tony Gilroy","Keanu Reeves, Al Pacino, Charlize Theron, Jeffrey Jones, Judith Ivey, Connie Nielsen, Craig T. Nelson, Tamara Tunie, Ruben Santiago-Hudson, Debra Monk, Vyto Ruginis, Laura Harrington, Pamela Gray, Heather Matarazzo"
195,Sunshine,21/01/2022,9,2007,Danny Boyle,Alex Garland,"Cillian Murphy, Chris Evans, Rose Byrne, Michelle Yeoh, Hiroyuki Sanada, Cliff Curtis, Troy Garity, Benedict Wong, Mark Strong, Chipo Chung, Paloma Baeza, Archie Macdonald, Sylvie Macdonald"
196,A Time To Kill,23/01/2022,7,1996,Joel Schumacher,Akiva Goldsman,"Sandra Bullock, Samuel L. Jackson, Matthew McConaughey, Kevin Spacey, Brenda Fricker, Oliver Platt, Charles S. Dutton, Ashley Judd, Patrick McGoohan, Donald Sutherland, Kiefer Sutherland, John Diehl, Doug Hutchison, Nicky Katt, Joe Seneca, Chris Cooper, Anthony Heald, Jonathan Hadary, Byron Jennings, Tonea Stewart"
197,Ocean’s 8,24/01/2022,7,2018,Gary Ross,"Gary Ross, Olivia Milch","Sandra Bullock, Cate Blanchett, Anne Hathaway, Helena Bonham Carter, Mindy Kaling, Sarah Paulson, Awkwafina, Rihanna, Richard Armitage, James Corden, Dakota Fanning"
198,The Trial Of Chicago 7,26/01/2022,7,2020,Aaron Sorkin,Aaron Sorkin,"Eddie Redmayne, Alex Sharp, Sacha Baron Cohen, Jeremy Strong, John Carroll Lynch, Yahya Abdul-Mateen II, Mark Rylance, Joseph Gordon-Levitt, Ben Shenkman, Frank Langella, Noah Robbins, Danny Flaherty, John Doman, Kelvin Harrison Jr., Caitlin FitzGerald, Michael Keaton"
199,The Oak Room,25/05/2021,4,2020,Cody Calahan,Peter Genoway,"RJ Mitte, Peter Outerbridge, Ari Millen, Nicholas Campbell, Martin Roach, David Ferry, Amos Crawley, Avery Esteves, Coal Campbell, Adam Seybold"
200,The Sound Of Metal,26/05/2021,6,2019,Darius Marder,"Darius Marder, Abraham Marder, Derek Cianfrance","Riz Ahmed, Olivia Cooke, Paul Raci, Lauren Ridloff, Mathieu Amalric, Domenico Toledo, Chelsea Lee, Shaheem Sanchez, Chris Perfetti, Bill Thorpe, Michael Tow, William Xifaras, Rena Maliszewski, Tom Kemp, Elan Sicroff, Jeremy Lee Stone, , as ASL Student, as Karl"
201,Nomadland,29/05/2021,6,2020,Chloé Zhao,"Jessica Bruder, Chloé Zhao","Frances McDormand, David Strathairn, Linda May, Gay DeForest, Patricia Grier, Angela Reyes, Carl R. Hughes, Douglas G. Soul, Ryan Aquino, Teresa Buchanan, Karie Lynn McDermott Wilder, Brandy Wilber, Makenzie Etcheverry, Bob Wells, Annette Webb, Rachel Bannon, Charlene Swankie, Bryce Bedsworth"
202,Oxygen,04/06/2021,7,2021,Alexandre Aja,Christie LeBlanc,"Mélanie Laurent, Mathieu Amalric, Malik Zidi, Laura Boujenah, Eric Herson-Macarel, Anie Balestra, Marc Saez, Cathy Cerda, Marie Lemiale, Lyah Valade"
203,Man On Fire,05/06/2021,8,2004,Tony Scott,"A.J. Quinnell, Brian Helgeland","Denzel Washington, Christopher Walken, Dakota Fanning, Radha Mitchell, Marc Anthony, Giancarlo Giannini, Mickey Rourke, Rachel Ticotin, Roberto Sosa, Jesús Ochoa, Gero Camilo, Mario Zaragoza, Charles Paraventi, Carmen Salinas, Esteban De La Trinidad, Angelina Peláez, Norma Pablo, Rosa María Hernández"
204,The Personal History Of David Copperfield,09/06/2021,6,2019,Armando Iannucci,"Simon Blackwell, Charles Dickens, Armando Iannucci","Dev Patel, Hugh Laurie, Tilda Swinton, Peter Capaldi, Fisayo Akinade, Nikki Amuka-Bird, Albie Atkinson, Aneurin Barnard, Tuwaine Barrett, Nigel Betts, Ruby Bentall, Darren Boyd, Gwendoline Christie, Morfydd Clark, …, as Peggotty, as Mr Spenlow, as Mick Walker, as Coalman"
205,Taxi Driver,12/06/2021,7,1976,Martin Scorsese,Paul Schrader,"Robert De Niro, Jodie Foster, Cybill Shepherd, Albert Brooks, Diahnne Abbott, Frank Adu, Victor Argo, Gino Ardito, Garth Avery, Peter Boyle, Harry Cohn, Copper Cunningham, Brenda Dickson, Harry Fischler, Nat Grant, Leonard Harris, Richard Higgs, Beau Kayser"
206,The Little Things,13/06/2021,6,2021,John Lee Hancock,John Lee Hancock,"Denzel Washington, Rami Malek, Jared Leto, Chris Bauer, Michael Hyatt, Terry Kinney, Natalie Morales, Isabel Arraiza, Joris Jarsky, Glenn Morshower, Sofia Vassilieva, Jason James Richter, John Harlan Kim, Frederick Koehler, Judith Scott"
207,Three Billboards Outside Ebbing Missouri,17/06/2021,9,2017,Martin McDonagh,Martin McDonagh,"Frances McDormand, Caleb Landry Jones, Kerry Condon, Sam Rockwell, Alejandro Barrios, Jason Ledford, Darrell Britt-Gibson, Woody Harrelson, Abbie Cornish, Riya May Atwood, Selah Atwood, Lucas Hedges, Zeljko Ivanek, Amanda Warren, Malaya Rivera Drew"
208,The Purge: Anarchy,14/06/2021,5,2014,James DeMonaco,"James DeMonaco, James DeMonaco","Frank Grillo, Carmen Ejogo, Zach Gilford, Kiele Sanchez, Zoë Soul, Justina Machado, John Beasley, Jack Conley, Noel Gugliemi, Castulo Guerra, Michael Kenneth Williams, Edwin Hodge, LaKeith Stanfield, Roberta Valderrama, Niko Nicotera"
209,Kiss Kiss Bang Bang,20/06/2021,6,2005,Shane Black,"Brett Halliday, Shane Black, |, 1 more credit,  »\n","Robert Downey Jr., Val Kilmer, Michelle Monaghan, Corbin Bernsen, Dash Mihok, Larry Miller, Rockmond Dunbar, Shannyn Sossamon, Angela Lindvall, Indio Falconer Downey, Ariel Winter, Duane Carnahan, Josh Richman, Martha Hackett, Nancy Fish"
210,Contagion,22/06/2021,6,2011,Steven Soderbergh,Scott Z. Burns,"Gwyneth Paltrow, Tien You Chui, Josie Ho, Daria Strokous, Matt Damon, Griffin Kane, Yoshiaki Kobayashi, Laurence Fishburne, John Hawkes, Jude Law, Monique Gabriela Curnen, Teri McEvoy, Sue Redman, Teri Campbell, Stef Tovar"
211,Die Hard 2,24/06/2021,6,1990,Renny Harlin,"Steven E. de Souza, Doug Richardson, |, 2 more credits,  »\n","Bruce Willis, Bonnie Bedelia, William Atherton, Reginald VelJohnson, Franco Nero, William Sadler, John Amos, Dennis Franz, Art Evans, Fred Thompson, Tom Bower, Sheila McCarthy, Don Harvey, Tony Ganios, Peter Nelson"
212,Minari,25/06/2021,7,2020,Lee Isaac Chung,Lee Isaac Chung,"Alan S. Kim, Yeri Han, Noel Cho, Steven Yeun, Darryl Cox, Esther Moon, Ben Hall, Eric Starkey, Will Patton, Yuh-Jung Youn, Jacob M Wade, James Carroll, Jenny Phagan, Tina Parker, Chloe Lee"
213,Penguin Bloom,27/06/2021,5,2020,Glendyn Ivin,"Shaun Grant, Harry Cripps, |, 3 more credits,  »\n","Naomi Watts, Griffin Murray-Johnston, Andrew Lincoln, Essi Murray-Johnston, Felix Cameron, Abe Clifford-Barr, Jacki Weaver, Gerry, Clipper, Eugene, Maggie May, Mavis, Pew, Pip, Wendell"
214,Book Club,04/07/2021,7,2018,Bill Holderman,"Bill Holderman, Erin Simms","Diane Keaton, Jane Fonda, Candice Bergen, Mary Steenburgen, Craig T. Nelson, Richard Dreyfuss, Alicia Silverstone, Katie Aselton, Ed Begley Jr., Wallace Shawn, Andy Garcia, Don Johnson, Tommy Dewey, Mircea Monroe, Matt Riedy, Adam Huber"
215,Killing Them Softly,09/07/2021,7,2012,Andrew Dominik,Andrew Dominik,"Brad Pitt, Scoot McNairy, Ben Mendelsohn, Richard Jenkins, James Gandolfini, Ray Liotta, Vincent Curatola, Slaine, Max Casella, Trevor Long, Sam Shepard"
216,Alita: Battle Angel,10/07/2021,9,2019,Robert Rodriguez,"James Cameron, Laeta Kalogridis","Rosa Salazar, Christoph Waltz, Keean Johnson, Mahershala Ali, Jennifer Connelly, Ed Skrein, Jackie Earle Haley, Lana Condor, Idara Victor, Eiza González, Jeff Fahey, Marko Zaror, Jorge Lendeborg, Michelle Rodriguez"
217,The Courier,11/07/2021,7,2020,Dominic Cooke,Tom O___Connor,"Benedict Cumberbatch, Merab Ninidze, Vladimir Chuprikov, James Schofield, Rachel Brosnahan, Anton Lesser, Jessie Buckley, Miles Richardson"
218,Kingsman: The Golden Circle,16/07/2021,8,2017,Matthew Vaughn,"Jane Goldman, Matthew Vaughn","Colin Firth, Julianne Moore, Taron Egerton, Mark Strong, Halle Berry, Channing Tatum, Jeff Bridges, Pedro Pascal, Edward Holcroft, Hanna Alström, Emily Watson, Sophie Cookson, Elton John, Bruce Greenwood, Poppy Delevingne"
219,The Godfather,17/07/2021,9,1972,Francis Ford Coppola,"Francis Ford Coppola, Mario Puzo, Mario Puzo","Marlon Brando, Al Pacino, James Caan, Richard S. Castellano, Robert Duvall, Sterling Hayden, John Marley, Richard Conte, Diane Keaton, Al Lettieri, Abe Vigoda, Talia Shire, Gianni Russo, John Cazale, Rudy Bond, Al Martino, Morgana King, Lenny Montana, John Martino, Richard Bright"
220,Top Gun,22/07/2021,6,1986,Joseph Kosinski,"Ehren Kruger, Eric Warren Singer, Christopher McQuarrie","Tom Cruise, Miles Teller, Jennifer Connelly, Jon Hamm, Glen Powell, Lewis Pullman, Charles Parnell, Bashir Salahuddin, Monica Barbaro, Jay Ellis, Danny Ramirez, Greg Tarzan Davis, Ed Harris, Val Kilmer"
221,Baby Driver,23/07/2021,7,2017,Edgar Wright,Edgar Wright,"Ansel Elgort, Kevin Spacey, Lily James, Jon Bernthal, Jon Hamm, Jamie Foxx, Eiza González, Flea, Sky Ferreira, Lanny Joon"
222,Zodiac,24/07/2021,8,2007,Christopher Nolen,Christopher Nolen,"Caryn Ward, Tammy Townsend, Carl Anthony Payne, Brad James, Timon Kyle Durrett, Christopher Nolen, Tanjareen Thomas, Clinton Lewis"
223,Palmer,28/07/2021,7,2021,Fisher Stevens,Cheryl Guerriero,"Justin Timberlake, Juno Temple, Alisha Wainwright, June Squibb, Ryder Allen, Jesse C. Boyd, Charmin Lee, Wynn Everett, Stephen Louis Grush"
224,Burn After Reading,31/07/2021,7,2008,"Joel Coen, Ethan Coen","Joel Coen, Ethan Coen","George Clooney, Frances McDormand, John Malkovich, Tilda Swinton, Brad Pitt, Richard Jenkins, Elizabeth Marvel, David Rasche, J.K. Simmons, Jeffrey DeMunn, Olek Krupa, Michael Countryman"
225,Le Chant Du Loup,02/08/2021,9,2019,Antonin Baudry,Antonin Baudry,"François Civil, Omar Sy, Mathieu Kassovitz, Reda Kateb, Paula Beer, Alexis Michalik, Jean-Yves Berteloot, Damien Bonnard"
226,Everest,04/08/2021,6,2015,Baltasar Kormákur,"William Nicholson, Simon Beaufoy","Jason Clarke, Josh Brolin, John Hawkes, Robin Wright, Emily Watson, Michael Kelly, Keira Knightley, Sam Worthington, Martin Henderson, Elizabeth Debicki, Ingvar Eggert Sigurðsson, Jake Gyllenhaal, Clive Standen, Naoko Mori, Tom Goodman-Hill"
227,The Upside,06/08/2021,7,2019,Neil Burger,Jon Hartmere,"Kevin Hart, Bryan Cranston, Nicole Kidman, Aja Naomi King, Jahi Di___Allo Winston, Genevieve Angelson, Golshifteh Farahani, Tate Donovan, Julianna Margulies, Suzanne Savoy"
228,Apocalypse Now,07/08/2021,6,1979,Francis Ford Coppola,"Joseph Conrad, John Milius, Francis Ford Coppola, Michael Herr","Marlon Brando, Martin Sheen, Robert Duvall, Frederic Forrest, Albert Hall, Sam Bottoms, Laurence Fishburne, Dennis Hopper, G.D. Spradlin, Harrison Ford, Jerry Ziesmer, Scott Glenn, Cynthia Wood, Colleen Camp, Linda Carpenter"
229,Ratatouille,11/08/2021,7,2007,Brad Bird,Brad Bird,"Patton Oswalt, Ian Holm, Lou Romano, Brian Dennehy, Peter Sohn, Brad Garrett, Peter O___Toole, Janeane Garofalo, Will Arnett, Julius Callahan, James Remar, John Ratzenberger, Teddy Newton, Tony Fucile, Jake Steinfeld, Brad Bird, Stéphane Roux"
230,Sympathy For Mr. Vengeance,12/08/2021,7,2002,Park Chan-wook,"Lee Jae-seon, Mu-yeong Lee","Kang-ho Song, Bae Doo-na, Han Bo-bae, Kim Se-dong, Lee Dae-yeon, Shin Ha-kyun, Im Ji-eun"
231,The Frozen Ground,13/08/2021,5,2013,Scott Walker,Scott Walker,"Nicolas Cage, John Cusack, Vanessa Hudgens, 50 Cent, Radha Mitchell, Jodi Lyn O___Keefe, Ryan O___Nan, Dean Norris, Katherine LaNasa"
232,Oldboy,14/08/2021,8,2003,Park Chan-wook,"Garon Tsuchiya, Im Jun-hyeong","Choi Min-sik, Yoo Ji-tae, Kang Hye-jung, Ji Dae-han, Oh Dal-su, Kim Byeong-ok, Seung-shin Lee, Yoon Jin-seo"
233,Lady Vengeance,20/08/2021,7,2005,Park Chan-wook,"Park Chan-wook, Jeong Seo-gyeong","Lee Young-ae, Choi Min-sik, Nam Il-u, Kim Byeong-ok, Kim Bu-seon, Ra Mi-ran"
234,A Quiet Place Part 2,21/08/2021,6,2020,John Krasinski,John Krasinski,"Emily Blunt, Cillian Murphy, Millicent Simmonds, Noah Jupe, Djimon Hounsou, John Krasinski, Lauren-Ashley Cristiano, Okieriete Onaodowan"
235,The Rental,22/08/2021,4,2020,Dave Franco,"Dave Franco, Joe Swanberg","Dan Stevens, Alison Brie, Sheila Vand, Jeremy Allen White, Toby Huss, Anthony Molinari, Connie Wellman, Chase Barker"
236,Django Unchained,26/08/2021,9,2012,Quentin Tarantino,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Samuel L. Jackson, Kerry Washington, Walton Goggins, Dennis Christopher, James Remar, David Steen, Dana Gourrier, Nichole Galicia, Laura Cayouette, Sammi Rotibi, Clay Fontenot, Escalante Lundy, Miriam F. Glover, Don Johnson, Bruce Dern, Tom Wopat, Don Stroud"
237,Vivarium,02/09/2021,5,2019,Lorcan Finnegan,Garret Shanley,"Imogen Poots, Jesse Eisenberg, Eanna Hardwicke, Jonathan Aris, Danielle Ryan, Olga Wehrly, Senan Jennings, Molly McCann, Shana Hart, Marck Quigley, Jack Hudson"
238,Wrath Of Man,27/08/2021,7,2021,Guy Ritchie,"Guy Ritchie, Ivan Atkinson, Marn Davies","Jason Statham, Holt McCallany, Jeffrey Donovan, Josh Hartnett, Laz Alonso, Raúl Castillo, Deobia Oparei, Eddie Marsan, Scott Eastwood, Niamh Algar, Chris Reilly"
